equipment_id,name,equipment_type,location,manufacturer,model_number,serial_number,installed_date,age_years,design_pressure_bar,design_temp_c,criticality,status,next_pm_due,parent_equipment_id,notes
P-101,Centrifugal Pump P-101,Centrifugal Pump,Unit-01 Crude Distillation,KSB,MDL-4821,A3F2-91B4-CC12,2008-03-15,17.3,12.5,180.0,Critical,Active,2025-09-15,,
P-102,Centrifugal Pump P-102,Centrifugal Pump,Unit-01 Crude Distillation,Sulzer,MDL-3302,B7E1-44D9-FF03,2010-07-22,14.9,12.5,180.0,High,Active,2025-11-01,,
P-103,Centrifugal Pump P-103,Centrifugal Pump,Unit-02 Vacuum Distillation,Flowserve,MDL-5510,C9A3-12E7-AA54,2012-01-10,13.5,8.0,150.0,High,Standby,2025-08-20,,
P-104,Centrifugal Pump P-104,Centrifugal Pump,Unit-03 Hydrodesulphurisation,KSB,MDL-2277,D1F8-77B2-EE65,2015-06-30,10.0,15.0,220.0,Critical,Active,2025-10-10,,
P-105,Centrifugal Pump P-105,Centrifugal Pump,Unit-04 Reforming,Sulzer,MDL-6643,E4C5-33A1-BB76,2009-11-05,15.7,10.0,200.0,Medium,Active,2026-01-15,,
P-201,Reciprocating Pump P-201,Reciprocating Pump,Unit-05 Fluid Catalytic Cracking,Flowserve,MDL-1198,F6D7-55C3-DD87,2011-04-18,14.2,25.0,120.0,Critical,Active,2025-09-01,,
P-202,Reciprocating Pump P-202,Reciprocating Pump,Unit-06 Amine Treating,KSB,MDL-8834,G8E9-22F5-CC98,2013-09-25,11.8,20.0,100.0,High,Active,2025-12-05,,
E-101,Heat Exchanger E-101,Heat Exchanger,Unit-01 Crude Distillation,Alfa Laval,MDL-7723,H2A1-88G7-AA09,2007-05-12,18.2,18.0,280.0,Critical,Active,2025-10-20,,
E-102,Heat Exchanger E-102,Heat Exchanger,Unit-01 Crude Distillation,SPX Flow,MDL-3341,I5B3-44H9-BB10,2009-08-30,15.8,16.0,260.0,High,Active,2026-02-01,,
E-103,Heat Exchanger E-103,Heat Exchanger,Unit-02 Vacuum Distillation,Alfa Laval,MDL-9912,J7C5-66I1-CC21,2011-12-15,13.6,14.0,240.0,High,Active,2025-11-15,,
